smiles,pIC50,mol,num_atoms,logP,molecular_weight,fingerprint
COc1ccc(N(c2nc(C)nc3oc(C)cc23)C(C)C)cc1,7.073657553374344,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd700>,23,4.394740000000003,311.38500000000005,[0 1 0 ... 0 0 0]
CCN(c1ccc(OC)cc1)c1nc(C)nc2oc(C)cc12,7.150580586203101,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd770>,22,4.006240000000004,297.35800000000006,[0 0 0 ... 0 0 0]
Cc1nc(Nc2ccc(Cl)cc2)c2cc(C)oc2n1,6.99012436628784,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd7e0>,19,4.236640000000002,273.723,[0 0 0 ... 0 0 0]
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,6.76421912967244,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd850>,29,3.3349400000000013,398.48200000000014,[0 0 0 ... 0 0 0]
Cc1nc(Nc2cccc3ccccc23)c2cc(C)oc2n1,6.838033383635925,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd8c0>,22,4.736440000000003,289.338,[0 0 0 ... 0 0 0]
CCCCN(c1ccc(OC)cc1)c1nc(C)nc2oc(C)cc12,6.468393368067278,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd930>,24,4.786440000000004,325.4120000000001,[0 0 0 ... 0 0 0]
Cc1nc(Nc2ccccc2)c2cc(C)oc2n1,6.946153573147748,<rdkit.Chem.rdchem.Mol object at 0x794efc2cd9a0>,18,3.5832400000000018,239.27799999999996,[0 0 0 ... 0 0 0]
c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCO5)c2)cc1,8.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x794efc2cda10>,26,4.769100000000003,341.3700000000001,[0 0 0 ... 0 0 0]
c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCO5)c2)cc1,7.376750709602099,<rdkit.Chem.rdchem.Mol object at 0x794efc2cda80>,27,4.811600000000003,355.39700000000016,[0 0 0 ... 0 0 0]
c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCCO5)c2)cc1,7.568636235841013,<rdkit.Chem.rdchem.Mol object at 0x794efc2cdaf0>,28,5.201700000000003,369.4240000000002,[0 0 0 ... 0 0 0]
